stimulation_uid,headstage_type,electrode_location,experiment_start_time,experiment_name,animal_id,block_name,sampling_frequency,stimulation_time,pulse_frequency,train_frequency,stimulation_duration,stimulation_amplitude_a,stimulation_amplitude_b,stimulation_pulse_width_a,stimulation_pulse_width_b,stimulation_gap,stimulation_synchronicity,stimulation_type,stimulation_channel_order
1479479316.188000,RA16Z_CH,HPC,1479479310.604000,synchronous,048,Block-5,2.441406e+04,6.339256,15.000000,0.000000,1.000000,1.500000,1.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1479479323.536000,RA16Z_CH,HPC,1479479310.604000,synchronous,048,Block-5,2.441406e+04,13.657743,15.000000,0.000000,1.000000,2.500000,2.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1479479330.556000,RA16Z_CH,HPC,1479479310.604000,synchronous,048,Block-5,2.441406e+04,20.672348,60.000000,0.000000,1.000000,2.500000,2.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1479479338.060000,RA16Z_CH,HPC,1479479310.604000,synchronous,048,Block-5,2.441406e+04,28.182569,100.000000,0.000000,1.000000,2.500000,2.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1479479345.058000,RA16Z_CH,HPC,1479479310.604000,synchronous,048,Block-5,2.441406e+04,35.179725,30.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1479479352.639000,RA16Z_CH,HPC,1479479310.604000,synchronous,048,Block-5,2.441406e+04,42.740204,200.000000,0.000000,1.000000,1.500000,1.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1479479359.597000,RA16Z_CH,HPC,1479479310.604000,synchronous,048,Block-5,2.441406e+04,49.713193,80.000000,0.000000,1.000000,2.500000,2.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1479479366.648000,RA16Z_CH,HPC,1479479310.604000,synchronous,048,Block-5,2.441406e+04,56.797757,200.000000,0.000000,1.000000,2.500000,2.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1479479374.074000,RA16Z_CH,HPC,1479479310.604000,synchronous,048,Block-5,2.441406e+04,64.216637,100.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1479479381.075000,RA16Z_CH,HPC,1479479310.604000,synchronous,048,Block-5,2.441406e+04,71.196303,100.000000,0.000000,1.000000,1.500000,1.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1479479388.532000,RA16Z_CH,HPC,1479479310.604000,synchronous,048,Block-5,2.441406e+04,78.668513,10.000000,0.000000,1.000000,2.500000,2.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1479479396.066000,RA16Z_CH,HPC,1479479310.604000,synchronous,048,Block-5,2.441406e+04,86.179799,80.000000,0.000000,1.000000,1.500000,1.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1479479403.024000,RA16Z_CH,HPC,1479479310.604000,synchronous,048,Block-5,2.441406e+04,93.160858,10.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1479479410.652000,RA16Z_CH,HPC,1479479310.604000,synchronous,048,Block-5,2.441406e+04,100.812022,250.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1479479417.532000,RA16Z_CH,HPC,1479479310.604000,synchronous,048,Block-5,2.441406e+04,107.674706,30.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1479479424.563000,RA16Z_CH,HPC,1479479310.604000,synchronous,048,Block-5,2.441406e+04,114.675384,80.000000,0.000000,1.000000,1.500000,1.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
