stimulation_uid,headstage_type,electrode_location,experiment_start_time,experiment_name,animal_id,block_name,sampling_frequency,stimulation_time,pulse_frequency,train_frequency,stimulation_duration,stimulation_amplitude_a,stimulation_amplitude_b,stimulation_pulse_width_a,stimulation_pulse_width_b,stimulation_gap,stimulation_synchronicity,stimulation_type,stimulation_channel_order
1475603770.247000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,2.007613,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603773.742000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,5.527142,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603777.268000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,9.015501,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603780.763000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,12.510085,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603784.273000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,16.003891,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603787.752000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,19.498967,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603790.747000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,22.498263,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603793.758000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,25.515377,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603797.751000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,29.514998,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603801.246000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,33.009459,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603804.272000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,36.007526,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603808.250000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,40.017224,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603811.744000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,43.521966,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603815.240000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,47.015526,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
