stimulation_uid,headstage_type,electrode_location,experiment_start_time,experiment_name,animal_id,block_name,sampling_frequency,stimulation_time,pulse_frequency_train,pulse_frequency_pulse,stimulation_duration,stimulation_amplitude_a,stimulation_amplitude_b,stimulation_pulse_width_train_a,stimulation_pulse_width_train_b,stimulation_pulse_width_pulse_a,stimulation_pulse_width_pulse_b,stimulation_train_TorF,stimulation_type,stimulation_channel_order
1590694655.249000,ZC16-OB1-16CH,R_HPC,1590694636.395000,gamma_max,EPI45,,,19.223000,,38.533402,5.000000,7.155380,7.155380,0.000000,0.000000,0.004519,0.004519,1.000000,standard,10
1590694666.812000,ZC16-OB1-16CH,R_HPC,1590694636.395000,gamma_max,EPI45,,,29.897000,,7.352881,5.000000,7.193949,7.193949,0.000000,0.000000,0.002618,0.002618,1.000000,standard,10
1590694676.317000,ZC16-OB1-16CH,R_HPC,1590694636.395000,gamma_max,EPI45,,,40.024000,,26.513520,5.000000,20.380582,20.380582,0.000000,0.000000,0.004713,0.004713,1.000000,standard,10
1590694689.250000,ZC16-OB1-16CH,R_HPC,1590694636.395000,gamma_max,EPI45,,,53.168000,,36.601698,5.000000,16.180651,16.180651,0.000000,0.000000,0.002392,0.002392,1.000000,standard,10
1590694700.211000,ZC16-OB1-16CH,R_HPC,1590694636.395000,gamma_max,EPI45,,,64.303000,,9.083079,5.000000,19.454491,19.454491,0.000000,0.000000,0.001470,0.001470,1.000000,standard,10
1590694710.794000,ZC16-OB1-16CH,R_HPC,1590694636.395000,gamma_max,EPI45,,,74.849000,,21.745924,5.000000,10.984500,10.984500,0.000000,0.000000,0.002691,0.002691,1.000000,standard,10
1590694721.102000,ZC16-OB1-16CH,R_HPC,1590694636.395000,gamma_max,EPI45,,,85.208000,,5.672569,5.000000,23.787967,23.787967,0.000000,0.000000,0.003735,0.003735,1.000000,standard,10
1590694732.553000,ZC16-OB1-16CH,R_HPC,1590694636.395000,gamma_max,EPI45,,,96.484000,,26.852520,5.000000,17.491458,17.491458,0.000000,0.000000,0.003642,0.003642,1.000000,standard,10
1590694743.279000,ZC16-OB1-16CH,R_HPC,1590694636.395000,gamma_max,EPI45,,,107.264000,,37.708619,5.000000,16.950532,16.950532,0.000000,0.000000,0.004775,0.004775,1.000000,standard,10
1590694758.819000,ZC16-OB1-16CH,R_HPC,1590694636.395000,gamma_max,EPI45,,,121.763000,,24.679899,5.000000,21.388445,21.388445,0.000000,0.000000,0.001808,0.001808,1.000000,standard,10
1590694774.118000,ZC16-OB1-16CH,R_HPC,1590694636.395000,gamma_max,EPI45,,,134.766000,,42.000000,5.000000,16.717172,16.717172,0.000000,0.000000,0.004717,0.004717,1.000000,standard,10
1590694786.253000,ZC16-OB1-16CH,R_HPC,1590694636.395000,gamma_max,EPI45,,,147.045000,,42.000000,5.000000,15.909091,15.909091,0.000000,0.000000,0.005000,0.005000,1.000000,standard,10
1590694802.078000,ZC16-OB1-16CH,R_HPC,1590694636.395000,gamma_max,EPI45,,,161.116000,,42.000000,5.000000,16.111111,16.111111,0.000000,0.000000,0.004152,0.004152,1.000000,standard,10
1590694813.804000,ZC16-OB1-16CH,R_HPC,1590694636.395000,gamma_max,EPI45,,,174.275000,,42.000000,5.000000,18.737374,18.737374,0.000000,0.000000,0.005000,0.005000,1.000000,standard,10
1590694827.586000,ZC16-OB1-16CH,R_HPC,1590694636.395000,gamma_max,EPI45,,,186.580000,,42.000000,5.000000,19.949495,19.949495,0.000000,0.000000,0.005000,0.005000,1.000000,standard,10
1590694839.837000,ZC16-OB1-16CH,R_HPC,1590694636.395000,gamma_max,EPI45,,,199.965000,,42.000000,5.000000,21.363636,21.363636,0.000000,0.000000,0.005000,0.005000,1.000000,standard,10
1590694851.804000,ZC16-OB1-16CH,R_HPC,1590694636.395000,gamma_max,EPI45,,,212.414000,,42.000000,5.000000,22.979798,22.979798,0.000000,0.000000,0.005000,0.005000,1.000000,standard,10
1590694870.262000,ZC16-OB1-16CH,R_HPC,1590694636.395000,gamma_max,EPI45,,,227.768000,,42.000000,5.000000,24.393939,24.393939,0.000000,0.000000,0.005000,0.005000,1.000000,standard,10
1590694881.628000,ZC16-OB1-16CH,R_HPC,1590694636.395000,gamma_max,EPI45,,,241.559000,,42.000000,5.000000,25.000000,25.000000,0.000000,0.000000,0.005000,0.005000,1.000000,standard,10
